sample_name	file_1	file_2	condition
arrest_1	ctss/ScerArrest.1.ctss		arrest
arrest_2	ctss/ScerArrest.2.ctss		arrest
diauxic_shift_1	ctss/ScerDSA.1.ctss		diauxic_shift
diauxic_shift_2	ctss/ScerDSA.2.ctss		diauxic_shift
dna_damage_1	ctss/ScerDD.1.ctss		dna_damage
dna_damage_2	ctss/ScerDD.2.ctss		dna_damage
galactose_1	ctss/ScerGal.1.ctss		galactose
galactose_2	ctss/ScerGal.2.ctss		galactose
glucose_1	ctss/ScerGlc.1.ctss		glucose
glucose_2	ctss/ScerGlc.2.ctss		glucose
H2O2_1	ctss/ScerH2O2.1.ctss		H2O2
H2O2_2	ctss/ScerH2O2.2.ctss		H2O2
heat_shock_1	ctss/ScerHS.1.ctss		heat_shock
heat_shock_2	ctss/ScerHS.2.ctss		heat_shock
NaCl_1	ctss/ScerNaCl.1.ctss		NaCl
NaCl_2	ctss/ScerNaCl.2.ctss		NaCl
YPD_1	ctss/ScerYPD.1.ctss		YPD
YPD_2	ctss/ScerYPD.2.ctss		YPD
